Date,ADS_Index
1960:11:01,-1.69378
1960:11:02,-1.73893
1960:11:03,-1.78296
1960:11:04,-1.82591
1960:11:05,-1.86778
1960:11:06,-1.9086
1960:11:07,-1.94837
1960:11:08,-1.98712
1960:11:09,-2.02486
1960:11:10,-2.0616
1960:11:11,-2.09736
1960:11:12,-2.13216
1960:11:13,-2.166
1960:11:14,-2.1989
1960:11:15,-2.23088
1960:11:16,-2.26194
1960:11:17,-2.29209
1960:11:18,-2.32136
1960:11:19,-2.34975
1960:11:20,-2.37727
1960:11:21,-2.40394
1960:11:22,-2.42975
1960:11:23,-2.45474
1960:11:24,-2.47889
1960:11:25,-2.50223
1960:11:26,-2.52476
1960:11:27,-2.54649
1960:11:28,-2.56743
1960:11:29,-2.58759
1960:11:30,-2.60698
1960:12:01,-2.62559
1960:12:02,-2.64111
1960:12:03,-2.65353
1960:12:04,-2.66286
1960:12:05,-2.6691
1960:12:06,-2.67226
1960:12:07,-2.67233
1960:12:08,-2.66932
1960:12:09,-2.66322
1960:12:10,-2.65404
1960:12:11,-2.64176
1960:12:12,-2.62639
1960:12:13,-2.60791
1960:12:14,-2.58633
1960:12:15,-2.56163
1960:12:16,-2.5338
1960:12:17,-2.50284
1960:12:18,-2.46872
1960:12:19,-2.43144
1960:12:20,-2.39098
1960:12:21,-2.34733
1960:12:22,-2.30046
1960:12:23,-2.25036
1960:12:24,-2.19702
1960:12:25,-2.1404
1960:12:26,-2.08049
1960:12:27,-2.01727
1960:12:28,-1.9507
1960:12:29,-1.88076
1960:12:30,-1.80743
1960:12:31,-1.73068
1961:01:01,-1.65047
1961:01:02,-1.57345
1961:01:03,-1.49961
1961:01:04,-1.42891
1961:01:05,-1.36131
1961:01:06,-1.2968
1961:01:07,-1.23536
1961:01:08,-1.17694
1961:01:09,-1.12154
1961:01:10,-1.06913
1961:01:11,-1.01968
1961:01:12,-0.973191
1961:01:13,-0.92963
1961:01:14,-0.888984
1961:01:15,-0.851237
1961:01:16,-0.816373
1961:01:17,-0.78438
1961:01:18,-0.755244
1961:01:19,-0.728955
1961:01:20,-0.705501
1961:01:21,-0.684874
1961:01:22,-0.667066
1961:01:23,-0.652068
1961:01:24,-0.639877
1961:01:25,-0.630486
1961:01:26,-0.623892
1961:01:27,-0.620093
1961:01:28,-0.619086
1961:01:29,-0.620872
1961:01:30,-0.625452
1961:01:31,-0.632826
1961:02:01,-0.642999
1961:02:02,-0.65121
1961:02:03,-0.657463
1961:02:04,-0.66176
1961:02:05,-0.664103
1961:02:06,-0.664493
1961:02:07,-0.66293
1961:02:08,-0.659413
1961:02:09,-0.653941
1961:02:10,-0.646512
1961:02:11,-0.637123
1961:02:12,-0.625771
1961:02:13,-0.61245
1961:02:14,-0.597156
1961:02:15,-0.579882
1961:02:16,-0.560622
1961:02:17,-0.539368
1961:02:18,-0.516112
1961:02:19,-0.490844
1961:02:20,-0.463555
1961:02:21,-0.434234
1961:02:22,-0.40287
1961:02:23,-0.36945
1961:02:24,-0.33396
1961:02:25,-0.296388
1961:02:26,-0.256718
1961:02:27,-0.214934
1961:02:28,-0.171021
1961:03:01,-0.124961
1961:03:02,-0.0799846
1961:03:03,-0.0360751
1961:03:04,0.0067851
1961:03:05,0.0486128
1961:03:06,0.0894244
1961:03:07,0.129236
1961:03:08,0.168063
1961:03:09,0.205922
1961:03:10,0.242826
1961:03:11,0.27879
1961:03:12,0.313829
1961:03:13,0.347957
1961:03:14,0.381186
1961:03:15,0.413529
1961:03:16,0.445001
1961:03:17,0.475612
1961:03:18,0.505375
1961:03:19,0.534302
1961:03:20,0.562403
1961:03:21,0.589691
1961:03:22,0.616176
1961:03:23,0.641867
1961:03:24,0.666777
1961:03:25,0.690913
1961:03:26,0.714286
1961:03:27,0.736904
1961:03:28,0.758778
1961:03:29,0.779915
1961:03:30,0.800323
1961:03:31,0.820011
1961:04:01,0.838986
1961:04:02,0.857813
1961:04:03,0.876499
1961:04:04,0.895051
1961:04:05,0.913476
1961:04:06,0.931782
1961:04:07,0.949976
1961:04:08,0.968066
1961:04:09,0.986057
1961:04:10,1.00396
1961:04:11,1.02178
1961:04:12,1.03952
1961:04:13,1.05719
1961:04:14,1.07479
1961:04:15,1.09235
1961:04:16,1.10985
1961:04:17,1.12731
1961:04:18,1.14474
1961:04:19,1.16214
1961:04:20,1.17951
1961:04:21,1.19687
1961:04:22,1.21423
1961:04:23,1.23158
1961:04:24,1.24894
1961:04:25,1.26631
1961:04:26,1.2837
1961:04:27,1.30112
1961:04:28,1.31857
1961:04:29,1.33606
1961:04:30,1.3536
1961:05:01,1.37119
1961:05:02,1.38806
1961:05:03,1.40421
1961:05:04,1.41965
1961:05:05,1.43439
1961:05:06,1.44843
1961:05:07,1.46177
1961:05:08,1.47442
1961:05:09,1.48639
1961:05:10,1.49769
1961:05:11,1.50831
1961:05:12,1.51826
1961:05:13,1.52754
1961:05:14,1.53616
1961:05:15,1.54412
1961:05:16,1.55143
1961:05:17,1.55808
1961:05:18,1.56409
1961:05:19,1.56944
1961:05:20,1.57415
1961:05:21,1.57822
1961:05:22,1.58164
1961:05:23,1.58442
1961:05:24,1.58656
1961:05:25,1.58806
1961:05:26,1.58893
1961:05:27,1.58916
1961:05:28,1.58874
1961:05:29,1.58769
1961:05:30,1.586
1961:05:31,1.58368
1961:06:01,1.58071
1961:06:02,1.57742
1961:06:03,1.57382
1961:06:04,1.56989
1961:06:05,1.56564
1961:06:06,1.56107
1961:06:07,1.55618
1961:06:08,1.55095
1961:06:09,1.5454
1961:06:10,1.53951
1961:06:11,1.53329
1961:06:12,1.52674
1961:06:13,1.51984
1961:06:14,1.5126
1961:06:15,1.50502
1961:06:16,1.49709
1961:06:17,1.48882
1961:06:18,1.48018
1961:06:19,1.47119
1961:06:20,1.46184
1961:06:21,1.45212
1961:06:22,1.44204
1961:06:23,1.43158
1961:06:24,1.42075
1961:06:25,1.40953
1961:06:26,1.39793
1961:06:27,1.38594
1961:06:28,1.37356
1961:06:29,1.36078
1961:06:30,1.34759
1961:07:01,1.334
1961:07:02,1.32079
1961:07:03,1.30796
1961:07:04,1.2955
1961:07:05,1.28342
1961:07:06,1.27171
1961:07:07,1.26036
1961:07:08,1.24936
1961:07:09,1.23872
1961:07:10,1.22843
1961:07:11,1.21848
1961:07:12,1.20888
1961:07:13,1.19961
1961:07:14,1.19068
1961:07:15,1.18207
1961:07:16,1.1738
1961:07:17,1.16584
1961:07:18,1.15821
1961:07:19,1.15089
1961:07:20,1.14389
1961:07:21,1.1372
1961:07:22,1.13082
1961:07:23,1.12475
1961:07:24,1.11898
1961:07:25,1.11351
1961:07:26,1.10834
1961:07:27,1.10348
1961:07:28,1.0989
1961:07:29,1.09462
1961:07:30,1.09064
1961:07:31,1.08694
1961:08:01,1.08353
1961:08:02,1.0792
1961:08:03,1.07395
1961:08:04,1.06777
1961:08:05,1.06066
1961:08:06,1.05261
1961:08:07,1.04364
1961:08:08,1.03372
1961:08:09,1.02286
1961:08:10,1.01105
1961:08:11,0.998294
1961:08:12,0.984579
1961:08:13,0.969903
1961:08:14,0.954258
1961:08:15,0.937639
1961:08:16,0.92004
1961:08:17,0.901454
1961:08:18,0.881872
1961:08:19,0.861289
1961:08:20,0.839695
1961:08:21,0.817081
1961:08:22,0.79344
1961:08:23,0.768762
1961:08:24,0.743037
1961:08:25,0.716254
1961:08:26,0.688404
1961:08:27,0.659476
1961:08:28,0.629458
1961:08:29,0.598338
1961:08:30,0.566104
1961:08:31,0.532743
1961:09:01,0.498242
1961:09:02,0.466727
1961:09:03,0.438184
1961:09:04,0.412602
1961:09:05,0.389971
1961:09:06,0.370282
1961:09:07,0.353528
1961:09:08,0.339702
1961:09:09,0.328798
1961:09:10,0.320813
1961:09:11,0.315742
1961:09:12,0.313585
1961:09:13,0.314339
1961:09:14,0.318007
1961:09:15,0.324588
1961:09:16,0.334085
1961:09:17,0.346503
1961:09:18,0.361846
1961:09:19,0.380121
1961:09:20,0.401333
1961:09:21,0.425493
1961:09:22,0.452608
1961:09:23,0.48269
1961:09:24,0.515752
1961:09:25,0.551804
1961:09:26,0.590863
1961:09:27,0.632943
1961:09:28,0.678061
1961:09:29,0.726234
1961:09:30,0.777482
1961:10:01,0.831825
1961:10:02,0.884478
1961:10:03,0.935465
1961:10:04,0.984803
1961:10:05,1.03251
1961:10:06,1.07861
1961:10:07,1.12312
1961:10:08,1.16606
1961:10:09,1.20743
1961:10:10,1.24727
1961:10:11,1.28558
1961:10:12,1.32238
1961:10:13,1.35769
1961:10:14,1.39151
1961:10:15,1.42387
1961:10:16,1.45477
1961:10:17,1.48423
1961:10:18,1.51225
1961:10:19,1.53885
1961:10:20,1.56405
1961:10:21,1.58784
1961:10:22,1.61024
1961:10:23,1.63126
1961:10:24,1.65091
1961:10:25,1.66918
1961:10:26,1.6861
1961:10:27,1.70167
1961:10:28,1.71589
1961:10:29,1.72877
1961:10:30,1.74031
1961:10:31,1.75053
1961:11:01,1.75941
1961:11:02,1.76689
1961:11:03,1.77297
1961:11:04,1.77766
1961:11:05,1.78094
1961:11:06,1.78283
1961:11:07,1.78332
1961:11:08,1.78242
1961:11:09,1.78013
1961:11:10,1.77644
1961:11:11,1.77135
1961:11:12,1.76486
1961:11:13,1.75698
1961:11:14,1.74768
1961:11:15,1.73698
1961:11:16,1.72486
1961:11:17,1.71133
1961:11:18,1.69638
1961:11:19,1.67999
1961:11:20,1.66217
1961:11:21,1.64291
1961:11:22,1.6222
1961:11:23,1.60003
1961:11:24,1.57639
1961:11:25,1.55128
1961:11:26,1.52468
1961:11:27,1.49659
1961:11:28,1.46698
1961:11:29,1.43586
1961:11:30,1.40321
1961:12:01,1.36902
1961:12:02,1.33433
1961:12:03,1.29914
1961:12:04,1.26344
1961:12:05,1.2272
1961:12:06,1.19042
1961:12:07,1.15308
1961:12:08,1.11516
1961:12:09,1.07666
1961:12:10,1.03755
1961:12:11,0.997818
1961:12:12,0.957454
1961:12:13,0.916438
1961:12:14,0.874755
1961:12:15,0.832388
1961:12:16,0.78932
1961:12:17,0.745535
1961:12:18,0.701016
1961:12:19,0.655744
1961:12:20,0.609703
1961:12:21,0.562873
1961:12:22,0.515237
1961:12:23,0.466775
1961:12:24,0.41747
1961:12:25,0.3673
1961:12:26,0.316247
1961:12:27,0.264291
1961:12:28,0.211411
1961:12:29,0.157585
1961:12:30,0.102794
1961:12:31,0.0470159
1962:01:01,-0.00977196
1962:01:02,-0.0618429
1962:01:03,-0.109217
1962:01:04,-0.151914
1962:01:05,-0.189949
1962:01:06,-0.223339
1962:01:07,-0.252095
1962:01:08,-0.27623
1962:01:09,-0.295752
1962:01:10,-0.31067
1962:01:11,-0.32099
1962:01:12,-0.326714
1962:01:13,-0.327847
1962:01:14,-0.324388
1962:01:15,-0.316335
1962:01:16,-0.303686
1962:01:17,-0.286436
1962:01:18,-0.264577
1962:01:19,-0.238102
1962:01:20,-0.207
1962:01:21,-0.171258
1962:01:22,-0.130862
1962:01:23,-0.0857977
1962:01:24,-0.036046
1962:01:25,0.0184124
1962:01:26,0.0775989
1962:01:27,0.141537
1962:01:28,0.210251
1962:01:29,0.283769
1962:01:30,0.362119
1962:01:31,0.445333
1962:02:01,0.533442
1962:02:02,0.616786
1962:02:03,0.695397
1962:02:04,0.769305
1962:02:05,0.83854
1962:02:06,0.903129
1962:02:07,0.963098
1962:02:08,1.01847
1962:02:09,1.06927
1962:02:10,1.11551
1962:02:11,1.15721
1962:02:12,1.1944
1962:02:13,1.22707
1962:02:14,1.25526
1962:02:15,1.27896
1962:02:16,1.29819
1962:02:17,1.31296
1962:02:18,1.32326
1962:02:19,1.32911
1962:02:20,1.33051
1962:02:21,1.32745
1962:02:22,1.31995
1962:02:23,1.30798
1962:02:24,1.29155
1962:02:25,1.27066
1962:02:26,1.24529
1962:02:27,1.21543
1962:02:28,1.18108
1962:03:01,1.14222
1962:03:02,1.10508
1962:03:03,1.06967
1962:03:04,1.03597
1962:03:05,1.00395
1962:03:06,0.973619
1962:03:07,0.944952
1962:03:08,0.917942
1962:03:09,0.892577
1962:03:10,0.868849
1962:03:11,0.846746
1962:03:12,0.826262
1962:03:13,0.807387
1962:03:14,0.790115
1962:03:15,0.774438
1962:03:16,0.76035
1962:03:17,0.747846
1962:03:18,0.736921
1962:03:19,0.727571
1962:03:20,0.719791
1962:03:21,0.71358
1962:03:22,0.708933
1962:03:23,0.705851
1962:03:24,0.70433
1962:03:25,0.704372
1962:03:26,0.705975
1962:03:27,0.70914
1962:03:28,0.713869
1962:03:29,0.720164
1962:03:30,0.728026
1962:03:31,0.73746
1962:04:01,0.748468
1962:04:02,0.757563
1962:04:03,0.764747
1962:04:04,0.770023
1962:04:05,0.773393
1962:04:06,0.774859
1962:04:07,0.774422
1962:04:08,0.77208
1962:04:09,0.767834
1962:04:10,0.761681
1962:04:11,0.75362
1962:04:12,0.743646
1962:04:13,0.731756
1962:04:14,0.717946
1962:04:15,0.702209
1962:04:16,0.684541
1962:04:17,0.664933
1962:04:18,0.643378
1962:04:19,0.619867
1962:04:20,0.594392
1962:04:21,0.566942
